benchmark,ablation,answer_space,subset_n,changed,full_wins,ablation_wins,full_net_gain,full_acc_overall,ablation_acc_overall,changed_subset_full_acc,changed_subset_ablation_acc,changed_subset_delta
textvqa,frequency_only,caption_like,2,0,0,0,0,0.500000,0.500000,NA,NA,NA
textvqa,frequency_only,chart_or_diagram,24,1,0,1,-1,0.625000,0.666667,0.000000,1.000000,1.000000
textvqa,frequency_only,multiple_choice,7,0,0,0,0,0.857143,0.857143,NA,NA,NA
textvqa,frequency_only,numeric,130,1,0,1,-1,0.753846,0.761538,0.000000,1.000000,1.000000
textvqa,frequency_only,ocr_text_short,251,19,5,5,0,0.756972,0.756972,0.473684,0.473684,0.000000
textvqa,frequency_only,open_entity,504,19,6,6,0,0.769841,0.769841,0.421053,0.421053,0.000000
textvqa,frequency_only,unknown,14,2,0,0,0,0.642857,0.642857,0.500000,0.500000,0.000000
textvqa,frequency_only,yes_no,68,2,1,0,1,0.926471,0.911765,0.500000,0.000000,-0.500000
textvqa,no_format,caption_like,2,0,0,0,0,0.500000,0.500000,NA,NA,NA
textvqa,no_format,chart_or_diagram,24,0,0,0,0,0.625000,0.625000,NA,NA,NA
textvqa,no_format,multiple_choice,7,0,0,0,0,0.857143,0.857143,NA,NA,NA
textvqa,no_format,numeric,130,1,0,1,-1,0.753846,0.761538,0.000000,1.000000,1.000000
textvqa,no_format,ocr_text_short,251,0,0,0,0,0.756972,0.756972,NA,NA,NA
textvqa,no_format,open_entity,504,0,0,0,0,0.769841,0.769841,NA,NA,NA
textvqa,no_format,unknown,14,0,0,0,0,0.642857,0.642857,NA,NA,NA
textvqa,no_format,yes_no,68,1,0,0,0,0.926471,0.926471,0.000000,0.000000,0.000000
textvqa,no_base_consistency,caption_like,2,0,0,0,0,0.500000,0.500000,NA,NA,NA
textvqa,no_base_consistency,chart_or_diagram,24,2,0,1,-1,0.625000,0.666667,0.000000,0.500000,0.500000
textvqa,no_base_consistency,multiple_choice,7,0,0,0,0,0.857143,0.857143,NA,NA,NA
textvqa,no_base_consistency,numeric,130,6,0,1,-1,0.753846,0.761538,0.166667,0.333333,0.166667
textvqa,no_base_consistency,ocr_text_short,251,12,5,3,2,0.756972,0.749004,0.583333,0.416667,-0.166667
textvqa,no_base_consistency,open_entity,504,8,1,2,-1,0.769841,0.771825,0.250000,0.375000,0.125000
textvqa,no_base_consistency,unknown,14,1,0,0,0,0.642857,0.642857,0.000000,0.000000,0.000000
textvqa,no_base_consistency,yes_no,68,0,0,0,0,0.926471,0.926471,NA,NA,NA
textvqa,no_length_risk,caption_like,2,0,0,0,0,0.500000,0.500000,NA,NA,NA
textvqa,no_length_risk,chart_or_diagram,24,0,0,0,0,0.625000,0.625000,NA,NA,NA
textvqa,no_length_risk,multiple_choice,7,0,0,0,0,0.857143,0.857143,NA,NA,NA
textvqa,no_length_risk,numeric,130,0,0,0,0,0.753846,0.753846,NA,NA,NA
textvqa,no_length_risk,ocr_text_short,251,0,0,0,0,0.756972,0.756972,NA,NA,NA
textvqa,no_length_risk,open_entity,504,0,0,0,0,0.769841,0.769841,NA,NA,NA
textvqa,no_length_risk,unknown,14,0,0,0,0,0.642857,0.642857,NA,NA,NA
textvqa,no_length_risk,yes_no,68,0,0,0,0,0.926471,0.926471,NA,NA,NA
textvqa,majority_vote,caption_like,2,0,0,0,0,0.500000,0.500000,NA,NA,NA
textvqa,majority_vote,chart_or_diagram,24,0,0,0,0,0.625000,0.625000,NA,NA,NA
textvqa,majority_vote,multiple_choice,7,0,0,0,0,0.857143,0.857143,NA,NA,NA
textvqa,majority_vote,numeric,130,0,0,0,0,0.753846,0.753846,NA,NA,NA
textvqa,majority_vote,ocr_text_short,251,0,0,0,0,0.756972,0.756972,NA,NA,NA
textvqa,majority_vote,open_entity,504,0,0,0,0,0.769841,0.769841,NA,NA,NA
textvqa,majority_vote,unknown,14,0,0,0,0,0.642857,0.642857,NA,NA,NA
textvqa,majority_vote,yes_no,68,0,0,0,0,0.926471,0.926471,NA,NA,NA
ocrvqa,frequency_only,caption_like,30,4,2,0,2,0.366667,0.300000,0.500000,0.000000,-0.500000
ocrvqa,frequency_only,numeric,5,0,0,0,0,0.400000,0.400000,NA,NA,NA
ocrvqa,frequency_only,ocr_text_short,69,0,0,0,0,0.391304,0.391304,NA,NA,NA
ocrvqa,frequency_only,open_entity,389,15,3,1,2,0.552699,0.547558,0.200000,0.066667,-0.133333
ocrvqa,frequency_only,unknown,115,11,2,1,1,0.208696,0.200000,0.181818,0.090909,-0.090909
ocrvqa,frequency_only,yes_no,392,8,7,1,6,0.836735,0.821429,0.875000,0.125000,-0.750000
ocrvqa,no_format,caption_like,30,1,0,0,0,0.366667,0.366667,0.000000,0.000000,0.000000
ocrvqa,no_format,numeric,5,0,0,0,0,0.400000,0.400000,NA,NA,NA
ocrvqa,no_format,ocr_text_short,69,0,0,0,0,0.391304,0.391304,NA,NA,NA
ocrvqa,no_format,open_entity,389,0,0,0,0,0.552699,0.552699,NA,NA,NA
ocrvqa,no_format,unknown,115,0,0,0,0,0.208696,0.208696,NA,NA,NA
ocrvqa,no_format,yes_no,392,0,0,0,0,0.836735,0.836735,NA,NA,NA
ocrvqa,no_base_consistency,caption_like,30,1,0,0,0,0.366667,0.366667,0.000000,0.000000,0.000000
ocrvqa,no_base_consistency,numeric,5,0,0,0,0,0.400000,0.400000,NA,NA,NA
ocrvqa,no_base_consistency,ocr_text_short,69,0,0,0,0,0.391304,0.391304,NA,NA,NA
ocrvqa,no_base_consistency,open_entity,389,10,2,0,2,0.552699,0.547558,0.200000,0.000000,-0.200000
ocrvqa,no_base_consistency,unknown,115,5,0,0,0,0.208696,0.208696,0.000000,0.000000,0.000000
ocrvqa,no_base_consistency,yes_no,392,0,0,0,0,0.836735,0.836735,NA,NA,NA
ocrvqa,no_length_risk,caption_like,30,0,0,0,0,0.366667,0.366667,NA,NA,NA
ocrvqa,no_length_risk,numeric,5,0,0,0,0,0.400000,0.400000,NA,NA,NA
ocrvqa,no_length_risk,ocr_text_short,69,0,0,0,0,0.391304,0.391304,NA,NA,NA
ocrvqa,no_length_risk,open_entity,389,0,0,0,0,0.552699,0.552699,NA,NA,NA
ocrvqa,no_length_risk,unknown,115,0,0,0,0,0.208696,0.208696,NA,NA,NA
ocrvqa,no_length_risk,yes_no,392,0,0,0,0,0.836735,0.836735,NA,NA,NA
ocrvqa,majority_vote,caption_like,30,0,0,0,0,0.366667,0.366667,NA,NA,NA
ocrvqa,majority_vote,numeric,5,0,0,0,0,0.400000,0.400000,NA,NA,NA
ocrvqa,majority_vote,ocr_text_short,69,0,0,0,0,0.391304,0.391304,NA,NA,NA
ocrvqa,majority_vote,open_entity,389,0,0,0,0,0.552699,0.552699,NA,NA,NA
ocrvqa,majority_vote,unknown,115,0,0,0,0,0.208696,0.208696,NA,NA,NA
ocrvqa,majority_vote,yes_no,392,0,0,0,0,0.836735,0.836735,NA,NA,NA
chartqa,frequency_only,chart_or_diagram,463,30,8,6,2,0.669546,0.665227,0.266667,0.200000,-0.066667
chartqa,frequency_only,numeric,399,0,0,0,0,0.749373,0.749373,NA,NA,NA
chartqa,frequency_only,ocr_text_short,2,0,0,0,0,1.000000,1.000000,NA,NA,NA
chartqa,frequency_only,open_entity,100,7,2,0,2,0.750000,0.730000,0.285714,0.000000,-0.285714
chartqa,frequency_only,unknown,6,0,0,0,0,0.500000,0.500000,NA,NA,NA
chartqa,frequency_only,yes_no,30,0,0,0,0,0.800000,0.800000,NA,NA,NA
chartqa,no_format,chart_or_diagram,463,0,0,0,0,0.669546,0.669546,NA,NA,NA
chartqa,no_format,numeric,399,0,0,0,0,0.749373,0.749373,NA,NA,NA
chartqa,no_format,ocr_text_short,2,0,0,0,0,1.000000,1.000000,NA,NA,NA
chartqa,no_format,open_entity,100,0,0,0,0,0.750000,0.750000,NA,NA,NA
chartqa,no_format,unknown,6,0,0,0,0,0.500000,0.500000,NA,NA,NA
chartqa,no_format,yes_no,30,0,0,0,0,0.800000,0.800000,NA,NA,NA
chartqa,no_base_consistency,chart_or_diagram,463,19,5,4,1,0.669546,0.667387,0.263158,0.210526,-0.052632
chartqa,no_base_consistency,numeric,399,16,3,2,1,0.749373,0.746867,0.187500,0.125000,-0.062500
chartqa,no_base_consistency,ocr_text_short,2,0,0,0,0,1.000000,1.000000,NA,NA,NA
chartqa,no_base_consistency,open_entity,100,3,0,0,0,0.750000,0.750000,0.000000,0.000000,0.000000
chartqa,no_base_consistency,unknown,6,0,0,0,0,0.500000,0.500000,NA,NA,NA
chartqa,no_base_consistency,yes_no,30,0,0,0,0,0.800000,0.800000,NA,NA,NA
chartqa,no_length_risk,chart_or_diagram,463,0,0,0,0,0.669546,0.669546,NA,NA,NA
chartqa,no_length_risk,numeric,399,0,0,0,0,0.749373,0.749373,NA,NA,NA
chartqa,no_length_risk,ocr_text_short,2,0,0,0,0,1.000000,1.000000,NA,NA,NA
chartqa,no_length_risk,open_entity,100,0,0,0,0,0.750000,0.750000,NA,NA,NA
chartqa,no_length_risk,unknown,6,0,0,0,0,0.500000,0.500000,NA,NA,NA
chartqa,no_length_risk,yes_no,30,0,0,0,0,0.800000,0.800000,NA,NA,NA
ocrbench,frequency_only,caption_like,53,4,0,0,0,0.301887,0.301887,0.000000,0.000000,0.000000
ocrbench,frequency_only,chart_or_diagram,66,8,0,1,-1,0.545455,0.560606,0.000000,0.125000,0.125000
ocrbench,frequency_only,multiple_choice,9,0,0,0,0,0.444444,0.444444,NA,NA,NA
ocrbench,frequency_only,numeric,209,2,1,1,0,0.789474,0.789474,0.500000,0.500000,0.000000
ocrbench,frequency_only,ocr_text_short,327,11,2,1,1,0.828746,0.825688,0.181818,0.090909,-0.090909
ocrbench,frequency_only,open_entity,272,12,3,3,0,0.724265,0.724265,0.333333,0.333333,0.000000
ocrbench,frequency_only,unknown,64,6,0,0,0,0.265625,0.265625,0.000000,0.000000,0.000000
ocrbench,no_format,caption_like,53,0,0,0,0,0.301887,0.301887,NA,NA,NA
ocrbench,no_format,chart_or_diagram,66,0,0,0,0,0.545455,0.545455,NA,NA,NA
ocrbench,no_format,multiple_choice,9,0,0,0,0,0.444444,0.444444,NA,NA,NA
