benchmark,setting,changed,full_wins,ablation_wins,net_gain
textvqa,without_consistency_module,27,8,4,-4
textvqa,without_answer_space_module,2,0,1,1
ocrvqa,without_consistency_module,15,2,1,-1
ocrvqa,without_answer_space_module,0,0,0,0
chartqa,without_consistency_module,36,9,6,-3
chartqa,without_answer_space_module,0,0,0,0
ocrbench,without_consistency_module,48,12,5,-7
ocrbench,without_answer_space_module,2,1,1,0
gqa,without_consistency_module,85,10,25,15
gqa,without_answer_space_module,11,1,2,1
ai2d,without_consistency_module,5,2,1,-1
ai2d,without_answer_space_module,0,0,0,0
mme_rw,without_consistency_module,51,6,10,4
mme_rw,without_answer_space_module,15,1,1,0
amber,without_consistency_module,94,18,20,2
amber,without_answer_space_module,22,1,1,0
