benchmark,n,setting,w_sup,w_valid,w_base,w_risk,correct_count,score,full_score,delta_vs_full,changed_count_vs_full,full_wins,ablation_wins,net_gain,source_xlsx,source_diag
textvqa,1000,full_asca,2.0,1.0,0.4,0.5,734,0.734000,0.734000,0.000000,0,0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
textvqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,730,0.730000,0.734000,-0.004000,27,8,4,-4,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
textvqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,735,0.735000,0.734000,0.001000,2,0,1,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrvqa,1000,full_asca,2.0,1.0,0.4,0.5,607,0.607000,0.607000,0.000000,0,0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrvqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,606,0.606000,0.607000,-0.001000,15,2,1,-1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrvqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,607,0.607000,0.607000,0.000000,0,0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
chartqa,1000,full_asca,2.0,1.0,0.4,0.5,713,0.713000,0.713000,0.000000,0,0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_chartqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
chartqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,710,0.710000,0.713000,-0.003000,36,9,6,-3,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_chartqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
chartqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,713,0.713000,0.713000,0.000000,0,0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_chartqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrbench,1000,full_asca,2.0,1.0,0.4,0.5,705,0.705000,0.705000,0.000000,0,0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrbench_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrbench,1000,without_consistency_module,0.0,1.0,0.0,0.5,698,0.698000,0.705000,-0.007000,48,12,5,-7,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrbench_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
