benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,full_score,tuned_score,delta_tuned_minus_full,gate_pass_count,switch_count,blocked_space_count,source_xlsx,source_diag,tuned_eval_input
mme_rw,MME-RealWorld-Lite,1000,wA_g1,2.0,1.0,0.8,0.75,0.6,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wA_g1/wA_g1_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wA_g2,2.0,1.0,0.8,0.75,0.6,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wA_g2/wA_g2_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wA_g3,2.0,1.0,0.8,0.75,0.8,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wA_g3/wA_g3_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wA_g4,2.0,1.0,0.8,0.75,0.8,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wA_g4/wA_g4_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wA_g5,2.0,1.0,0.8,0.75,1.0,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wA_g5/wA_g5_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wA_g6,2.0,1.0,0.8,0.75,1.0,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wA_g6/wA_g6_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wB_g1,2.0,1.5,0.8,0.75,0.6,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wB_g1/wB_g1_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wB_g2,2.0,1.5,0.8,0.75,0.6,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wB_g2/wB_g2_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wB_g3,2.0,1.5,0.8,0.75,0.8,1.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wB_g3/wB_g3_MME-RealWorld-Lite.xlsx
mme_rw,MME-RealWorld-Lite,1000,wB_g4,2.0,1.5,0.8,0.75,0.8,2.0,0.401,0.401,0.0,0,0,1000,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_mme_rw/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_mme_rw_n1000_diagregen_noreuse_REAL_20260504_123043/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/reports/ovis_tuned_after_compare/official_eval_inputs/mme_rw/wB_g4/wB_g4_MME-RealWorld-Lite.xlsx
