priority	job_name	subset	config	jobid
P1	p1-tvq-routed1k	1000	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_textvqa.json	7605046
P2	p2-textvqa-g03	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_textvqa_g03.json	7605047
P2	p2-textvqa-g05	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_textvqa_g05.json	7605048
P2	p2-textvqa-g06	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_textvqa_g06.json	7605049
P2	p2-textvqa-g07	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_textvqa_g07.json	7605050
P2	p2-textvqa-g08	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_textvqa_g08.json	7605051
P2	p2-ocrvqa-g01	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g01.json	7605052
P2	p2-ocrvqa-g02	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g02.json	7605053
P2	p2-ocrvqa-g03	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g03.json	7605054
P2	p2-ocrvqa-g04	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g04.json	7605055
P2	p2-ocrvqa-g05	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g05.json	7605056
P2	p2-ocrvqa-g06	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g06.json	7605057
P2	p2-ocrvqa-g07	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g07.json	7605058
P2	p2-ocrvqa-g08	200	benchmark_configs/test_config_smolvlm2_v91_cf3_routed_ocrvqa_g08.json	7605059
P3	p3-ovis1b-textvqa	200	paper_neurips2026_artifacts/configs/second_backbone_configs/test_config_ovis2_1b_ttaug_det_textvqa.json	7605060
P3	p3-ovis1b-ocrvqa	200	paper_neurips2026_artifacts/configs/second_backbone_configs/test_config_ovis2_1b_ttaug_det_ocrvqa.json	7605061
P3	p3-ovis1b-gqa	200	paper_neurips2026_artifacts/configs/second_backbone_configs/test_config_ovis2_1b_ttaug_det_gqa.json	7605062
P3	p3-ovis1b-ocrbench	200	paper_neurips2026_artifacts/configs/second_backbone_configs/test_config_ovis2_1b_ttaug_det_ocrbench.json	7605063
P4	p4-abl200-frequency_only-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_textvqa.json	7605064
P4	p4-abl200-no_format-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa.json	7605065
P4	p4-abl200-no_base_bias-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_textvqa.json	7605066
P4	p4-abl200-no_length_risk-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_textvqa.json	7605067
P4	p4-abl200-no_answer_space-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_answer_space_textvqa.json	7605068
P4	p4-abl200-majority_vote-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_textvqa.json	7605069
P4	p4-abl200-base_only-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_base_only_textvqa.json	7605070
P4	p4-abl200-first_view-textvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_first_view_textvqa.json	7605071
P4	p4-abl200-frequency_only-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrvqa.json	7605072
P4	p4-abl200-no_format-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa.json	7605073
P4	p4-abl200-no_base_bias-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrvqa.json	7605074
P4	p4-abl200-no_length_risk-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrvqa.json	7605075
P4	p4-abl200-no_answer_space-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_answer_space_ocrvqa.json	7605076
P4	p4-abl200-majority_vote-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrvqa.json	7605077
P4	p4-abl200-base_only-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_base_only_ocrvqa.json	7605083
P4	p4-abl200-first_view-ocrvqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_first_view_ocrvqa.json	7605084
P4	p4-abl200-frequency_only-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_gqa.json	7605090
P4	p4-abl200-no_format-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_gqa.json	7605091
P4	p4-abl200-no_base_bias-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_gqa.json	7605095
P4	p4-abl200-no_length_risk-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_gqa.json	7605097
P4	p4-abl200-no_answer_space-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_answer_space_gqa.json	7605099
P4	p4-abl200-majority_vote-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_gqa.json	7605102
P4	p4-abl200-base_only-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_base_only_gqa.json	7605104
P4	p4-abl200-first_view-gqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_first_view_gqa.json	7605105
P4	p4-abl200-frequency_only-chartqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_chartqa.json	7605106
P4	p4-abl200-no_format-chartqa	200	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa.json	7605107
