benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,delta_over_default_tau,min_validity,base_ttaug_score,tuned_score,delta_tuned_minus_ttaug,changed_vs_ttaug,override_count,source_xlsx,source_diag,tuned_eval_input,block_counts
textvqa,TextVQA_VAL,200,m0p6_s0p75_d0p0,2.0,1.0,1.0,1.0,0.6,0.75,0.0,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p6_s0p75_d0p0/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 35, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 51, ""low_margin"": 13}"
textvqa,TextVQA_VAL,200,m0p6_s0p75_d0p15,2.0,1.0,1.0,1.0,0.6,0.75,0.15,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p6_s0p75_d0p15/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 35, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 51, ""low_margin"": 13}"
textvqa,TextVQA_VAL,200,m0p6_s0p875_d0p0,2.0,1.0,1.0,1.0,0.6,0.875,0.0,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p6_s0p875_d0p0/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 23, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 73, ""low_margin"": 3}"
textvqa,TextVQA_VAL,200,m0p6_s0p875_d0p15,2.0,1.0,1.0,1.0,0.6,0.875,0.15,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p6_s0p875_d0p15/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 23, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 73, ""low_margin"": 3}"
textvqa,TextVQA_VAL,200,m0p8_s0p75_d0p0,2.0,1.0,1.0,1.0,0.8,0.75,0.0,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p8_s0p75_d0p0/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 35, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 51, ""low_margin"": 13}"
textvqa,TextVQA_VAL,200,m0p8_s0p75_d0p15,2.0,1.0,1.0,1.0,0.8,0.75,0.15,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p8_s0p75_d0p15/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 35, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 51, ""low_margin"": 13}"
textvqa,TextVQA_VAL,200,m0p8_s0p875_d0p0,2.0,1.0,1.0,1.0,0.8,0.875,0.0,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p8_s0p875_d0p0/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 23, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 73, ""low_margin"": 3}"
textvqa,TextVQA_VAL,200,m0p8_s0p875_d0p15,2.0,1.0,1.0,1.0,0.8,0.875,0.15,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m0p8_s0p875_d0p15/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 23, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 73, ""low_margin"": 3}"
textvqa,TextVQA_VAL,200,m1p0_s0p75_d0p0,2.0,1.0,1.0,1.0,1.0,0.75,0.0,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m1p0_s0p75_d0p0/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 35, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 51, ""low_margin"": 13}"
textvqa,TextVQA_VAL,200,m1p0_s0p75_d0p15,2.0,1.0,1.0,1.0,1.0,0.75,0.15,0.6,78.35,78.35,0.0,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_ttaug_textvqa/TTAugAdapter_Ovis2_2B_8_SimplePara_average/T20260502_G8433322c/TTAugAdapter_Ovis2_2B_8_SimplePara_average_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_ttaug_backoff_calib_n200/official_eval_inputs/textvqa/m1p0_s0p75_d0p15/ttaug_backoff_TextVQA_VAL.xlsx,"{""same_as_default"": 35, ""too_few_candidates"": 70, ""space_block"": 29, ""default_not_in_pool"": 2, ""low_support"": 51, ""low_margin"": 13}"
