benchmark,tier,setting,ttaug_score,hybrid_score,delta
ocrbench,loose,m0p6_s0p75_d0p0,83.7,83.8,0.09999999999999432
gqa,loose,m0p6_s0p75_d0p0,54.900000000000006,55.1,0.19999999999999574
textvqa,strict,m0p6_s0p875_d0p0,78.74,78.81,0.07000000000000739
chartqa,loose,m0p6_s0p75_d0p0,84.8,84.89999999999999,0.09999999999999432
ocrvqa,strict,m0p6_s1p0_d0p0,70.3,70.3,0.0
ai2d,loose,m0p6_s0p75_d0p0,0.805,0.805,0.0
mme_rw,loose,m0p6_s0p75_d0p0,0.398,0.398,0.0
coco,loose,m0p6_s0p75_d0p0,13.029029646318783,13.029029646318783,0.0
amber,loose,m0p6_s0p75_d0p0,84.58715596330275,84.95412844036697,0.3669724770642233

AVG,,,52.3621317344024,52.45512867629842,0.0929969418960239
