benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,full_score,tuned_score,delta_tuned_minus_full,gate_pass_count,switch_count,blocked_space_count,source_xlsx,source_diag,tuned_eval_input
textvqa,TextVQA_VAL,1000,wA_g1,2.0,1.0,0.8,0.75,0.3,0.25,78.44000000000001,78.83,0.38999999999998636,635,77,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wA_g1/wA_g1_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wA_g2,2.0,1.0,0.8,0.75,0.6,0.25,78.44000000000001,78.92,0.47999999999998977,597,60,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wA_g2/wA_g2_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wB_g1,2.0,1.5,0.8,0.75,0.3,0.25,78.44000000000001,78.83,0.38999999999998636,635,77,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wB_g1/wB_g1_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wB_g2,2.0,1.5,0.8,0.75,0.6,0.25,78.44000000000001,78.92,0.47999999999998977,597,60,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wB_g2/wB_g2_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wC_g1,1.5,1.0,0.8,0.75,0.3,0.25,78.44000000000001,78.69,0.2499999999999858,633,89,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wC_g1/wC_g1_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wC_g2,1.5,1.0,0.8,0.75,0.6,0.25,78.44000000000001,78.73,0.28999999999999204,599,76,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wC_g2/wC_g2_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wD_g1,2.0,1.0,1.0,1.0,0.3,0.25,78.44000000000001,78.69,0.2499999999999858,633,89,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wD_g1/wD_g1_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wD_g2,2.0,1.0,1.0,1.0,0.6,0.25,78.44000000000001,78.73,0.28999999999999204,599,76,275,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/textvqa/wD_g2/wD_g2_TextVQA_VAL.csv
ocrvqa,OCRVQA_TEST,1000,wA_g1,2.0,1.0,0.8,0.75,0.3,0.25,69.0,68.2,-0.7999999999999972,395,42,565,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/ocrvqa/wA_g1/wA_g1_OCRVQA_TEST.csv
ocrvqa,OCRVQA_TEST,1000,wA_g2,2.0,1.0,0.8,0.75,0.6,0.25,69.0,68.5,-0.5,377,33,565,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep/official_eval_inputs/ocrvqa/wA_g2/wA_g2_OCRVQA_TEST.csv
