benchmark,dataset,n,setting,w_sup,w_valid,w_base,w_risk,margin_tau,min_support,full_score,tuned_score,delta_tuned_minus_full,gate_pass_count,switch_count,blocked_space_count,source_xlsx,source_diag,tuned_eval_input
textvqa,TextVQA_VAL,1000,wStrict_g1,2.0,1.0,1.0,1.0,0.6,0.75,78.44000000000001,78.38,-0.060000000000016485,161,5,758,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/textvqa/wStrict_g1/wStrict_g1_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wStrict_g2,2.0,1.0,1.0,1.0,0.6,0.875,78.44000000000001,78.54,0.09999999999999432,135,1,758,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/textvqa/wStrict_g2/wStrict_g2_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wStrict_g3,2.0,1.0,1.0,1.0,0.8,0.75,78.44000000000001,78.38,-0.060000000000016485,161,5,758,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/textvqa/wStrict_g3/wStrict_g3_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wStrict_g4,2.0,1.0,1.0,1.0,0.8,0.875,78.44000000000001,78.54,0.09999999999999432,135,1,758,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/textvqa/wStrict_g4/wStrict_g4_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wStrict_g5,2.0,1.0,1.0,1.0,1.0,0.75,78.44000000000001,78.38,-0.060000000000016485,161,5,758,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/textvqa/wStrict_g5/wStrict_g5_TextVQA_VAL.csv
textvqa,TextVQA_VAL,1000,wStrict_g6,2.0,1.0,1.0,1.0,1.0,0.875,78.44000000000001,78.54,0.09999999999999432,135,1,758,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/textvqa/wStrict_g6/wStrict_g6_TextVQA_VAL.csv
ocrvqa,OCRVQA_TEST,1000,wStrict_g1,2.0,1.0,1.0,1.0,0.6,0.75,69.0,69.19999999999999,0.19999999999998863,43,3,946,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/ocrvqa/wStrict_g1/wStrict_g1_OCRVQA_TEST.csv
ocrvqa,OCRVQA_TEST,1000,wStrict_g2,2.0,1.0,1.0,1.0,0.6,0.875,69.0,69.1,0.09999999999999432,38,1,946,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/ocrvqa/wStrict_g2/wStrict_g2_OCRVQA_TEST.csv
ocrvqa,OCRVQA_TEST,1000,wStrict_g3,2.0,1.0,1.0,1.0,0.8,0.75,69.0,69.19999999999999,0.19999999999998863,43,3,946,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/ocrvqa/wStrict_g3/wStrict_g3_OCRVQA_TEST.csv
ocrvqa,OCRVQA_TEST,1000,wStrict_g4,2.0,1.0,1.0,1.0,0.8,0.875,69.0,69.1,0.09999999999999432,38,1,946,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/second_backbone/ovis2_tuned_gated_sweep_strict_9b/official_eval_inputs/ocrvqa/wStrict_g4/wStrict_g4_OCRVQA_TEST.csv
