setting,textvqa,d_textvqa,ocrvqa,d_ocrvqa,chartqa,d_chartqa,ocrbench,d_ocrbench,avg_d
wsup_1.0,68.31,0.12000000000000455,49.6,0.20000000000000284,57.2,0.10000000000000142,54.7,-0.19999999999999574,0.05500000000000327
wsup_1.5,68.31,0.12000000000000455,49.7,0.30000000000000426,57.2,0.10000000000000142,54.6,-0.29999999999999716,0.05500000000000327
wsup_2.0,68.19,0.0,49.4,0.0,57.1,0.0,54.9,0.0,0.0
wsup_2.5,68.22,0.030000000000001137,49.4,0.0,57.1,0.0,54.9,0.0,0.007500000000000284
wsup_3.0,68.22,0.030000000000001137,49.4,0.0,57.1,0.0,54.9,0.0,0.007500000000000284
wvalid_0.25,68.22,0.030000000000001137,49.4,0.0,57.1,0.0,54.9,0.0,0.007500000000000284
wvalid_0.5,68.22,0.030000000000001137,49.4,0.0,57.1,0.0,54.9,0.0,0.007500000000000284
wvalid_1.0,68.19,0.0,49.4,0.0,57.1,0.0,54.9,0.0,0.0
wvalid_1.5,68.19,0.0,49.4,0.0,57.1,0.0,54.9,0.0,0.0
wvalid_2.0,68.09,-0.09999999999999432,49.4,0.0,57.0,-0.10000000000000142,54.8,-0.10000000000000142,-0.07499999999999929
