benchmark,setting_name,changed,default_wins,setting_wins,net
textvqa,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,0,0,0,0
textvqa,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,20,3,5,2
textvqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,20,3,5,2
textvqa,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,5,0,2,2
textvqa,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,5,0,2,2
textvqa,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,5,0,2,2
textvqa,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,5,0,2,2
textvqa,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,5,0,1,1
textvqa,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,6,1,1,0
chartqa,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,0,0,0,0
chartqa,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,11,3,2,-1
chartqa,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,7,2,1,-1
chartqa,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,3,0,0,0
chartqa,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,3,0,0,0
chartqa,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,3,0,0,0
chartqa,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,3,0,0,0
chartqa,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,4,0,0,0
chartqa,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,5,1,0,-1
