benchmark,n,varied_param,param_value,setting_name,w_sup,w_valid,w_base,w_risk,metric,score,delta_vs_default,official_default_score,official_nocf_default_score,official_routed_default_score,default_method,default_basis,proxy_score,proxy_default_score,changed_vs_default,default_wins,setting_wins,net_vs_default,changed_vs_frequency_only,setting_output_file,candidate_source,candidate_source_policy,default_source_cfg,missing_diag_samples,missing_support_candidates
textvqa,1000,default,default,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,2.0,1.0,0.4,0.5,official_metric,71.960000,-0.120000,72.080000,71.960000,72.080000,routed,routed_official,0.770000,0.770000,0,0,0,0,44,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,0
textvqa,1000,w_sup,1.0,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,1.0,1.0,0.4,0.5,official_metric,68.340000,-3.740000,72.080000,71.960000,72.080000,routed,routed_official,0.772000,0.770000,20,3,5,2,64,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup1p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
textvqa,1000,w_sup,1.5,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,1.5,1.0,0.4,0.5,official_metric,68.410000,-3.670000,72.080000,71.960000,72.080000,routed,routed_official,0.772000,0.770000,20,3,5,2,64,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup1p5_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
textvqa,1000,w_sup,2.5,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,2.5,1.0,0.4,0.5,official_metric,68.320000,-3.760000,72.080000,71.960000,72.080000,routed,routed_official,0.772000,0.770000,5,0,2,2,45,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup2p5_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
textvqa,1000,w_sup,3.0,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,3.0,1.0,0.4,0.5,official_metric,68.320000,-3.760000,72.080000,71.960000,72.080000,routed,routed_official,0.772000,0.770000,5,0,2,2,45,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup3p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
textvqa,1000,w_valid,0.25,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,2.0,0.25,0.4,0.5,official_metric,68.320000,-3.760000,72.080000,71.960000,72.080000,routed,routed_official,0.772000,0.770000,5,0,2,2,45,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup2p0_wvalid0p25_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
textvqa,1000,w_valid,0.5,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,2.0,0.5,0.4,0.5,official_metric,68.320000,-3.760000,72.080000,71.960000,72.080000,routed,routed_official,0.772000,0.770000,5,0,2,2,45,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
textvqa,1000,w_valid,1.5,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,2.0,1.5,0.4,0.5,official_metric,68.290000,-3.790000,72.080000,71.960000,72.080000,routed,routed_official,0.771000,0.770000,5,0,1,1,48,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup2p0_wvalid1p5_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
textvqa,1000,w_valid,2.0,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,2.0,2.0,0.4,0.5,official_metric,68.190000,-3.890000,72.080000,71.960000,72.080000,routed,routed_official,0.770000,0.770000,6,1,1,0,49,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000,test_config_smolvlm2_v91_nocf_regen_textvqa,0,37
chartqa,1000,default,default,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,2.0,1.0,0.4,0.5,official_metric,76.300000,0.000000,76.300000,76.300000,76.300000,routed,routed_official,0.713000,0.713000,0,0,0,0,37,paper_neurips2026_artifacts/sensitivity_asca_weights/official_v6_textvqa_chartqa_default_routed/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/chartqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa_n1000/diagnostics/v91nocf_samples.jsonl,test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa_n1000,test_config_smolvlm2_v91_nocf_regen_chartqa,0,0
