benchmark,n,varied_param,param_value,setting_name,w_sup,w_valid,w_base,w_risk,metric,score,delta_vs_default,changed_vs_default,default_wins,setting_wins,net_vs_default,changed_vs_frequency_only,setting_output_file,candidate_source,missing_diag_samples,missing_support_candidates
textvqa,1000,default,default,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,2.0,1.0,0.4,0.5,accuracy_proxy,0.770000,0.000000,0,0,0,0,44,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,0
textvqa,1000,w_sup,1.0,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,1.0,1.0,0.4,0.5,accuracy_proxy,0.772000,0.002000,20,3,5,2,64,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup1p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
textvqa,1000,w_sup,1.5,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,1.5,1.0,0.4,0.5,accuracy_proxy,0.772000,0.002000,20,3,5,2,64,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup1p5_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
textvqa,1000,w_sup,2.5,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,2.5,1.0,0.4,0.5,accuracy_proxy,0.772000,0.002000,5,0,2,2,45,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p5_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
textvqa,1000,w_sup,3.0,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,3.0,1.0,0.4,0.5,accuracy_proxy,0.772000,0.002000,5,0,2,2,45,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup3p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
textvqa,1000,w_valid,0.25,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,2.0,0.25,0.4,0.5,accuracy_proxy,0.772000,0.002000,5,0,2,2,45,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p0_wvalid0p25_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
textvqa,1000,w_valid,0.5,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,2.0,0.5,0.4,0.5,accuracy_proxy,0.772000,0.002000,5,0,2,2,45,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
textvqa,1000,w_valid,1.5,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,2.0,1.5,0.4,0.5,accuracy_proxy,0.771000,0.001000,5,0,1,1,48,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p0_wvalid1p5_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
textvqa,1000,w_valid,2.0,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,2.0,2.0,0.4,0.5,accuracy_proxy,0.770000,0.000000,6,1,1,0,49,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/textvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,37
ocrvqa,1000,default,default,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,2.0,1.0,0.4,0.5,accuracy_proxy,0.607000,0.000000,0,0,0,0,38,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,0
ocrvqa,1000,w_sup,1.0,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,1.0,1.0,0.4,0.5,accuracy_proxy,0.612000,0.005000,23,3,8,5,61,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup1p0_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,25
ocrvqa,1000,w_sup,1.5,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,1.5,1.0,0.4,0.5,accuracy_proxy,0.613000,0.006000,17,2,8,6,55,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup1p5_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,25
ocrvqa,1000,w_sup,2.5,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,2.5,1.0,0.4,0.5,accuracy_proxy,0.607000,0.000000,0,0,0,0,38,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup2p5_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,25
ocrvqa,1000,w_sup,3.0,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,3.0,1.0,0.4,0.5,accuracy_proxy,0.607000,0.000000,0,0,0,0,38,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights/wsup3p0_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa_n1000/diagnostics/v91nocf_samples.jsonl,0,25
