backbone,benchmark,n,setting_name,varied_param,param_value,w_sup,w_valid,w_base,w_risk,metric,score,default_score,delta_vs_default,changed_vs_default,default_wins,setting_wins,net_vs_default,missing_diag_samples,diag_path,default_xlsx,setting_output_file
ovis2_2b,textvqa,1000,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,default,default,2.0,1.0,0.4,0.5,accuracy_proxy,0.835000,0.836000,-0.001000,141,38,37,-1,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.0,1.0,1.0,0.4,0.5,accuracy_proxy,0.816000,0.836000,-0.020000,179,57,37,-20,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup1p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.5,1.5,1.0,0.4,0.5,accuracy_proxy,0.827000,0.836000,-0.009000,158,45,36,-9,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup1p5_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,2.5,2.5,1.0,0.4,0.5,accuracy_proxy,0.835000,0.836000,-0.001000,141,38,37,-1,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup2p5_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,3.0,3.0,1.0,0.4,0.5,accuracy_proxy,0.835000,0.836000,-0.001000,141,38,37,-1,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup3p0_wvalid1p0_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,w_valid,0.25,2.0,0.25,0.4,0.5,accuracy_proxy,0.836000,0.836000,0.000000,142,37,37,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup2p0_wvalid0p25_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,w_valid,0.5,2.0,0.5,0.4,0.5,accuracy_proxy,0.835000,0.836000,-0.001000,142,38,37,-1,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,w_valid,1.5,2.0,1.5,0.4,0.5,accuracy_proxy,0.834000,0.836000,-0.002000,142,39,37,-2,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup2p0_wvalid1p5_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,textvqa,1000,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,w_valid,2.0,2.0,2.0,0.4,0.5,accuracy_proxy,0.834000,0.836000,-0.002000,142,39,37,-2,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_textvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_textvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/textvqa/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/textvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,default,default,2.0,1.0,0.4,0.5,accuracy_proxy,0.691000,0.696000,-0.005000,130,38,33,-5,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.0,1.0,1.0,0.4,0.5,accuracy_proxy,0.678000,0.696000,-0.018000,155,56,38,-18,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup1p0_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.5,1.5,1.0,0.4,0.5,accuracy_proxy,0.684000,0.696000,-0.012000,148,50,38,-12,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup1p5_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,2.5,2.5,1.0,0.4,0.5,accuracy_proxy,0.692000,0.696000,-0.004000,130,38,34,-4,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup2p5_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,3.0,3.0,1.0,0.4,0.5,accuracy_proxy,0.696000,0.696000,0.000000,128,35,35,0,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup3p0_wvalid1p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,w_valid,0.25,2.0,0.25,0.4,0.5,accuracy_proxy,0.697000,0.696000,0.001000,125,33,34,1,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup2p0_wvalid0p25_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,w_valid,0.5,2.0,0.5,0.4,0.5,accuracy_proxy,0.695000,0.696000,-0.001000,127,35,34,-1,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,w_valid,1.5,2.0,1.5,0.4,0.5,accuracy_proxy,0.692000,0.696000,-0.004000,130,37,33,-4,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup2p0_wvalid1p5_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,ocrvqa,1000,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,w_valid,2.0,2.0,2.0,0.4,0.5,accuracy_proxy,0.691000,0.696000,-0.005000,131,37,32,-5,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
