benchmark,n,tau_cf,tau_gap,score,delta_vs_nocf,proxy_score,proxy_delta_vs_nocf,eligible_count,routed_count,switch_count,correct_switches,incorrect_switches,net_switch_gain,switch_coverage,block_counts,source_nocf_xlsx,source_cf_diag
chartqa,1000,0.150,0.100,76.300000,0.000000,0.713000,0.000000,64,0,0,0,0,0,0.000000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 17, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.150,76.300000,0.000000,0.713000,0.000000,64,1,1,0,0,0,0.001000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 16, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.200,76.300000,0.000000,0.713000,0.000000,64,1,1,0,0,0,0.001000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 16, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.300,76.300000,0.000000,0.713000,0.000000,64,1,1,0,0,0,0.001000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 16, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.500,76.300000,0.000000,0.712000,-0.001000,64,3,3,0,1,-1,0.003000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""general_score_gap_too_large"": 14, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
ocrbench,1000,0.150,0.100,72.500000,0.000000,0.706000,0.000000,338,0,0,0,0,0,0.000000,"{""low_view_support"": 242, ""no_valid_alternative"": 325, ""low_cf_margin"": 46, ""missing_general_score"": 4, ""general_score_gap_too_large"": 46, ""answer_space_block"": 337}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ocrbench_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
ocrbench,1000,0.150,0.150,72.500000,0.000000,0.706000,0.000000,338,6,6,2,2,0,0.006000,"{""low_view_support"": 242, ""no_valid_alternative"": 325, ""low_cf_margin"": 46, ""missing_general_score"": 4, ""general_score_gap_too_large"": 40, ""answer_space_block"": 337}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ocrbench_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
ocrbench,1000,0.150,0.200,72.500000,0.000000,0.706000,0.000000,338,6,6,2,2,0,0.006000,"{""low_view_support"": 242, ""no_valid_alternative"": 325, ""low_cf_margin"": 46, ""missing_general_score"": 4, ""general_score_gap_too_large"": 40, ""answer_space_block"": 337}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ocrbench_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
ocrbench,1000,0.150,0.300,72.500000,0.000000,0.706000,0.000000,338,6,6,2,2,0,0.006000,"{""low_view_support"": 242, ""no_valid_alternative"": 325, ""low_cf_margin"": 46, ""missing_general_score"": 4, ""general_score_gap_too_large"": 40, ""answer_space_block"": 337}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ocrbench_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
ocrbench,1000,0.150,0.500,72.500000,0.000000,0.706000,0.000000,338,11,11,4,4,0,0.011000,"{""low_view_support"": 242, ""no_valid_alternative"": 325, ""low_cf_margin"": 46, ""missing_general_score"": 4, ""general_score_gap_too_large"": 35, ""answer_space_block"": 337}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ocrbench_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
