benchmark,n,tau_cf,tau_gap,score,delta_vs_nocf,proxy_score,proxy_delta_vs_nocf,eligible_count,routed_count,switch_count,correct_switches,incorrect_switches,net_switch_gain,switch_coverage,block_counts,source_nocf_xlsx,source_cf_diag
textvqa,1000,0.150,0.100,71.860000,-0.100000,0.769000,-0.001000,265,1,1,0,1,-1,0.001000,"{""no_valid_alternative"": 110, ""low_view_support"": 171, ""unknown_not_routed"": 5, ""answer_space_block"": 129, ""general_score_gap_too_large"": 48, ""low_cf_margin"": 45, ""open_entity_not_text_grounded"": 41, ""missing_diag"": 450}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_n1000_r6/diagnostics/v91cf3_samples.jsonl
textvqa,1000,0.150,0.150,71.400000,-0.560000,0.764000,-0.006000,265,7,7,0,6,-6,0.007000,"{""no_valid_alternative"": 110, ""low_view_support"": 171, ""unknown_not_routed"": 5, ""answer_space_block"": 129, ""general_score_gap_too_large"": 42, ""low_cf_margin"": 45, ""open_entity_not_text_grounded"": 41, ""missing_diag"": 450}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_n1000_r6/diagnostics/v91cf3_samples.jsonl
textvqa,1000,0.150,0.200,71.400000,-0.560000,0.764000,-0.006000,265,7,7,0,6,-6,0.007000,"{""no_valid_alternative"": 110, ""low_view_support"": 171, ""unknown_not_routed"": 5, ""answer_space_block"": 129, ""general_score_gap_too_large"": 42, ""low_cf_margin"": 45, ""open_entity_not_text_grounded"": 41, ""missing_diag"": 450}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_n1000_r6/diagnostics/v91cf3_samples.jsonl
textvqa,1000,0.150,0.300,71.400000,-0.560000,0.764000,-0.006000,265,7,7,0,6,-6,0.007000,"{""no_valid_alternative"": 110, ""low_view_support"": 171, ""unknown_not_routed"": 5, ""answer_space_block"": 129, ""general_score_gap_too_large"": 42, ""low_cf_margin"": 45, ""open_entity_not_text_grounded"": 41, ""missing_diag"": 450}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_n1000_r6/diagnostics/v91cf3_samples.jsonl
textvqa,1000,0.150,0.500,70.710000,-1.250000,0.757000,-0.013000,265,16,16,0,13,-13,0.016000,"{""no_valid_alternative"": 110, ""low_view_support"": 171, ""unknown_not_routed"": 5, ""answer_space_block"": 129, ""general_score_gap_too_large"": 33, ""low_cf_margin"": 45, ""open_entity_not_text_grounded"": 41, ""missing_diag"": 450}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_n1000_r6/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.100,76.300000,0.000000,0.713000,0.000000,64,0,0,0,0,0,0.000000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 17, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.150,76.300000,0.000000,0.713000,0.000000,64,1,1,0,0,0,0.001000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 16, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.200,76.300000,0.000000,0.713000,0.000000,64,1,1,0,0,0,0.001000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 16, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.300,76.300000,0.000000,0.713000,0.000000,64,1,1,0,0,0,0.001000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""general_score_gap_too_large"": 16, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
chartqa,1000,0.150,0.500,76.300000,0.000000,0.712000,-0.001000,64,3,3,0,1,-1,0.003000,"{""answer_space_block"": 892, ""low_view_support"": 37, ""no_valid_alternative"": 19, ""open_entity_not_text_grounded"": 21, ""general_score_gap_too_large"": 14, ""unknown_not_routed"": 4, ""low_cf_margin"": 10}",<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa_n1000_noreuse/diagnostics/v91cf3_samples.jsonl
