config,dataset,n,metric,score,nocf_score,delta_vs_nocf,cf_used_rate,prediction_changed_rate,rescue,harm,neutral_change,net_rescue,main_block_reason,diag_path
test_config_smolvlm2_v91_cf3_routed_ai2d,AI2D_TEST,1000,Overall,0.688,0.688,0.0,0.0,0.0,0,0,0,0,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ai2d/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf_ai2d,AI2D_TEST,200,Overall,0.67,0.67,0.0,0.0,0.0,0,0,0,0,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_ai2d/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_amber,AMBER,1000,Avg ACC,74.704628452513,74.704628452513,0.0,0.0,0.0,0,0,0,0,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_amber/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_coco,COCO_VAL,1000,ROUGE_L,18.768026820554358,18.768026820554358,0.0,0.0,0.0,0,0,0,0,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_coco/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf_coco,COCO_VAL,200,ROUGE_L,18.642228516865508,18.642228516865508,0.0,0.0,0.125,0,0,0,0,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_coco/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_chartqa,ChartQA_TEST,1000,Overall,76.3,76.3,0.0,0.002,0.005,0,0,2,0,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_chartqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf_chartqa,ChartQA_TEST,200,Overall,83.5,83.5,0.0,0.08,0.01,0,0,0,0,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_chartqa/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_gqa,GQA_TestDev_Balanced,1000,Overall,10.2,9.9,0.29999999999999893,0.037,0.037,10,3,24,7,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_gqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf_gqa,GQA_TestDev_Balanced,200,Overall,10.0,10.0,0.0,0.2,0.085,0,0,1,0,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_gqa/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_mme_rw,MME-RealWorld-Lite,1000,Overall,0.315,,,0.0,0.0,,,,,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_mme_rw/diagnostics/v91cf3_samples.jsonl
